연번,지방청,경찰서,관서명,경찰_주소,Latitude,Longitude,경찰_전화번호
208,동구,한의원,동인천한의원,"인천광역시 동구 화도진로 70, 3층 (화평동)",37.480768,126.6303443,
209,동구,한의원,이승진한의원,"인천광역시 동구 샛골로 182, 2층 (송림동)",37.4785264,126.645492,
210,동구,한의원,화수한의원,"인천광역시 동구 운교로 6, 1층 (화수동)",37.4794368,126.6283777,
211,동구,한의원,경인한의원,"인천광역시 동구 화도진로 63, 2,3,4,5층 (화평동)",37.4777276,126.631882,
212,동구,한의원,송림한의원,인천광역시 동구 송림로 96 (송림동),37.4757625,126.6453389,
213,동구,한의원,송선당한의원,인천광역시 동구 송현로11번길 4 (송현동),37.4777921,126.6340355,
214,동구,한의원,초록한의원,인천광역시 동구 금곡로 34 (금곡동),37.4729991,126.6392947,
215,동구,한의원,동제당한의원,"인천광역시 동구 동산로 88, 2층 (송림동)",37.4752116,126.6454766,
216,동구,한의원,신농씨한의원,"인천광역시 동구 화도진로 113, 106호 (화수동, 화도진그린빌주공상가)",37.4831198,126.6302355,
217,동구,한의원,일이삼한의원,"인천광역시 동구 샛골로 173, 2층 (송림동)",37.4778582,126.6447625,
218,동구,한의원,명인한의원,"인천광역시 동구 송현로 38, 402호 (송현동, 송현프라자)",37.4791161,126.6362123,
219,동구,한의원,성모메디칼한의원,인천광역시 동구 샛골로 199 (송현동),37.4801528,126.6452437,
220,동구,한의원,익수한의원,인천광역시 동구 화도진로 65 (화평동),37.4784766,126.6322253,
221,동구,한의원,보민한의원,"인천광역시 동구 송림로 83, 2층 (송림동)",37.4758582,126.6439423,
222,동구,한의원,보화당한의원,인천광역시 동구 금곡로 84 (송림동),37.4731625,126.6448856,
223,동구,한의원,대영한의원,"인천광역시 동구 화평로 12-1 (화평동, 대영한의원)",37.4786783,126.6294505,
224,동구,한의원,대제당한의원,인천광역시 동구 화도진로 21 (송현동),37.4747855,126.6350149,
225,동구,한의원,천광한의원,인천광역시 동구 샛골로 120 (송림동),37.4730025,126.6442591,
226,동구,한의원,조민형한의원,인천광역시 동구 송림로 17 (송림동),37.4735495,126.6372243,
227,동구,부속의원,현대두산인프라코어(주)부속의원,인천광역시 동구 인중로 489(화수동),37.4850303,126.6299007,
228,동구,부속의원,현대제철부속의원,"인천광역시 동구 중봉대로 63 (송현동, 현대제철(주))",37.4893983,126.6385227,
229,동구,종합병원,의료법인 성수의료재단 인천백병원,인천광역시 동구 샛골로 214 (송림동),37.4818485,126.6456233,
230,동구,종합병원,인천광역시의료원,"인천광역시 동구 방축로 217 (송림동, 인천광역시 의료원)",37.4787399,126.6686719,
